0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:18:36 +0530] "GET /Waterplant_V1_0/external-js/metisMenu.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:18:37 +0530] "GET /Waterplant_V1_0/Menu.jsp HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:18:37 +0530] "POST /Waterplant_V1_0/Stock HTTP/1.1" 200 76
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:18:41 +0530] "GET /Waterplant_V1_0/Billing.jsp HTTP/1.1" 200 11191
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:18:41 +0530] "GET /Waterplant_V1_0/JS/Billing.js HTTP/1.1" 200 7180
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:18:42 +0530] "GET /Waterplant_V1_0/Menu.jsp HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:18:42 +0530] "POST /Waterplant_V1_0/Billing HTTP/1.1" 200 798
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:18:42 +0530] "POST /Waterplant_V1_0/Billing HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:18:47 +0530] "GET /Waterplant_V1_0/Expense.jsp HTTP/1.1" 200 9647
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:18:48 +0530] "GET /Waterplant_V1_0/JS/Expense.js HTTP/1.1" 200 4799
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:18:48 +0530] "GET /Waterplant_V1_0/Menu.jsp HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:18:49 +0530] "POST /Waterplant_V1_0/Expense HTTP/1.1" 200 1966
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:18:51 +0530] "GET /Waterplant_V1_0/Customer.jsp HTTP/1.1" 200 9340
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:18:51 +0530] "GET /Waterplant_V1_0/JS/Customer.js HTTP/1.1" 200 3370
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:18:52 +0530] "GET /Waterplant_V1_0/Menu.jsp HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:18:52 +0530] "POST /Waterplant_V1_0/Customer HTTP/1.1" 200 798
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:23:55 +0530] "GET /Waterplant_V1_0/Customer.jsp HTTP/1.1" 200 9340
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:23:55 +0530] "GET /Waterplant_V1_0/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:23:55 +0530] "GET /Waterplant_V1_0/css/responsive.dataTables.min.css HTTP/1.1" 200 3929
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:23:55 +0530] "GET /Waterplant_V1_0/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:23:56 +0530] "GET /Waterplant_V1_0/css/metisMenu.min.css HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:23:56 +0530] "GET /Waterplant_V1_0/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:23:56 +0530] "GET /Waterplant_V1_0/external-js/jquery.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:23:56 +0530] "GET /Waterplant_V1_0/external-js/angular.min.js HTTP/1.1" 200 167131
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:23:56 +0530] "GET /Waterplant_V1_0/external-js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:23:56 +0530] "GET /Waterplant_V1_0/external-js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:23:56 +0530] "GET /Waterplant_V1_0/external-js/dataTables.bootstrap.min.js HTTP/1.1" 200 1966
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:23:56 +0530] "GET /Waterplant_V1_0/external-js/dataTables.responsive.min.js HTTP/1.1" 200 12713
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:23:56 +0530] "GET /Waterplant_V1_0/external-js/metisMenu.min.js HTTP/1.1" 200 5461
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:23:56 +0530] "GET /Waterplant_V1_0/external-js/ui-bootstrap-tpls.js HTTP/1.1" 200 125941
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:23:56 +0530] "GET /Waterplant_V1_0/JS/moment.js HTTP/1.1" 200 131543
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:23:56 +0530] "GET /Waterplant_V1_0/JS/angular-datatables.min.js HTTP/1.1" 200 13282
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:23:56 +0530] "GET /Waterplant_V1_0/JS/Customer.js HTTP/1.1" 200 3370
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:23:56 +0530] "GET /Waterplant_V1_0/JS/moment.js HTTP/1.1" 200 131543
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:23:56 +0530] "GET /Waterplant_V1_0/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:23:57 +0530] "GET /Waterplant_V1_0/Menu.jsp HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:23:57 +0530] "POST /Waterplant_V1_0/Customer HTTP/1.1" 200 798
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:24:02 +0530] "GET /Waterplant_V1_0/Billing.jsp HTTP/1.1" 200 11191
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:24:03 +0530] "POST /Waterplant_V1_0/Billing HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:24:03 +0530] "POST /Waterplant_V1_0/Billing HTTP/1.1" 200 798
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:24:03 +0530] "GET /Waterplant_V1_0/Menu.jsp HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:24:10 +0530] "GET /Waterplant_V1_0/Billing.jsp HTTP/1.1" 200 11191
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:24:10 +0530] "GET /Waterplant_V1_0/css/responsive.dataTables.min.css HTTP/1.1" 200 3929
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:24:10 +0530] "GET /Waterplant_V1_0/css/metisMenu.min.css HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:24:10 +0530] "GET /Waterplant_V1_0/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:24:10 +0530] "GET /Waterplant_V1_0/external-js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:24:10 +0530] "GET /Waterplant_V1_0/external-js/dataTables.bootstrap.min.js HTTP/1.1" 200 1966
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:24:10 +0530] "GET /Waterplant_V1_0/external-js/dataTables.responsive.min.js HTTP/1.1" 200 12713
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:24:10 +0530] "GET /Waterplant_V1_0/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:24:10 +0530] "GET /Waterplant_V1_0/external-js/metisMenu.min.js HTTP/1.1" 200 5461
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:24:10 +0530] "GET /Waterplant_V1_0/external-js/angular.min.js HTTP/1.1" 200 167131
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:24:10 +0530] "GET /Waterplant_V1_0/JS/Autocomplete/angucomplete.js HTTP/1.1" 200 10601
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:24:10 +0530] "GET /Waterplant_V1_0/JS/typeahead.bundle.js HTTP/1.1" 200 98636
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:24:10 +0530] "GET /Waterplant_V1_0/JS/Billing.js HTTP/1.1" 200 7046
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:24:10 +0530] "GET /Waterplant_V1_0/external-js/jquery.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:24:10 +0530] "GET /Waterplant_V1_0/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:24:10 +0530] "GET /Waterplant_V1_0/external-js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:24:10 +0530] "GET /Waterplant_V1_0/JS/Autocomplete/angucomplete.js HTTP/1.1" 200 10601
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:24:10 +0530] "POST /Waterplant_V1_0/Billing HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:24:11 +0530] "POST /Waterplant_V1_0/Billing HTTP/1.1" 200 798
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:24:11 +0530] "GET /Waterplant_V1_0/Menu.jsp HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:24:30 +0530] "GET /Waterplant_V1_0/Rawmaterial.jsp HTTP/1.1" 200 9243
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:24:36 +0530] "GET /Waterplant_V1_0/Menu.jsp HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:24:36 +0530] "POST /Waterplant_V1_0/Rawmaterial HTTP/1.1" 200 90
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:24:36 +0530] "POST /Waterplant_V1_0/Rawmaterial HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:24:36 +0530] "POST /Waterplant_V1_0/Rawmaterial HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:25:30 +0530] "POST /Waterplant_V1_0/Rawmaterial HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:25:30 +0530] "GET /Waterplant_V1_0/Rawmaterial.jsp HTTP/1.1" 200 9243
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:25:31 +0530] "GET /Waterplant_V1_0/css/responsive.dataTables.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:25:31 +0530] "GET /Waterplant_V1_0/css/dataTables.bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:25:31 +0530] "GET /Waterplant_V1_0/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:25:31 +0530] "GET /Waterplant_V1_0/css/metisMenu.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:25:31 +0530] "GET /Waterplant_V1_0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:25:31 +0530] "GET /Waterplant_V1_0/external-js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:25:31 +0530] "GET /Waterplant_V1_0/external-js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:25:31 +0530] "GET /Waterplant_V1_0/external-js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:25:31 +0530] "GET /Waterplant_V1_0/external-js/dataTables.bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:25:31 +0530] "GET /Waterplant_V1_0/external-js/dataTables.responsive.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:25:31 +0530] "GET /Waterplant_V1_0/external-js/metisMenu.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:25:31 +0530] "GET /Waterplant_V1_0/JS/RawmaterialScript.js HTTP/1.1" 200 3881
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:25:31 +0530] "GET /Waterplant_V1_0/Menu.jsp HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:25:31 +0530] "POST /Waterplant_V1_0/Rawmaterial HTTP/1.1" 200 90
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:25:31 +0530] "POST /Waterplant_V1_0/Rawmaterial HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:25:31 +0530] "POST /Waterplant_V1_0/Rawmaterial HTTP/1.1" 200 263
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:26:26 +0530] "POST /Waterplant_V1_0/Rawmaterial HTTP/1.1" 500 177
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:28:05 +0530] "POST /Waterplant_V1_0/Rawmaterial HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:28:22 +0530] "POST /Waterplant_V1_0/Rawmaterial HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:28:22 +0530] "GET /Waterplant_V1_0/Rawmaterial.jsp HTTP/1.1" 200 9243
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:28:22 +0530] "GET /Waterplant_V1_0/css/responsive.dataTables.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:28:22 +0530] "GET /Waterplant_V1_0/css/dataTables.bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:28:22 +0530] "GET /Waterplant_V1_0/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:28:22 +0530] "GET /Waterplant_V1_0/css/metisMenu.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:28:22 +0530] "GET /Waterplant_V1_0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:28:22 +0530] "GET /Waterplant_V1_0/external-js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:28:22 +0530] "GET /Waterplant_V1_0/external-js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:28:22 +0530] "GET /Waterplant_V1_0/external-js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:28:22 +0530] "GET /Waterplant_V1_0/external-js/dataTables.bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:28:22 +0530] "GET /Waterplant_V1_0/external-js/dataTables.responsive.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:28:22 +0530] "GET /Waterplant_V1_0/external-js/metisMenu.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:28:22 +0530] "GET /Waterplant_V1_0/JS/RawmaterialScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:28:22 +0530] "GET /Waterplant_V1_0/Menu.jsp HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:28:22 +0530] "POST /Waterplant_V1_0/Rawmaterial HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:28:22 +0530] "POST /Waterplant_V1_0/Rawmaterial HTTP/1.1" 200 90
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:28:22 +0530] "POST /Waterplant_V1_0/Rawmaterial HTTP/1.1" 200 263
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:28:37 +0530] "POST /Waterplant_V1_0/Rawmaterial HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:30:32 +0530] "POST /Waterplant_V1_0/Rawmaterial HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:30:32 +0530] "GET /Waterplant_V1_0/Rawmaterial.jsp HTTP/1.1" 200 9243
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:30:32 +0530] "GET /Waterplant_V1_0/css/responsive.dataTables.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:30:32 +0530] "GET /Waterplant_V1_0/css/dataTables.bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:30:32 +0530] "GET /Waterplant_V1_0/css/metisMenu.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:30:32 +0530] "GET /Waterplant_V1_0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:30:32 +0530] "GET /Waterplant_V1_0/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:30:32 +0530] "GET /Waterplant_V1_0/external-js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:30:32 +0530] "GET /Waterplant_V1_0/external-js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:30:32 +0530] "GET /Waterplant_V1_0/external-js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:30:32 +0530] "GET /Waterplant_V1_0/external-js/dataTables.bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:30:32 +0530] "GET /Waterplant_V1_0/external-js/dataTables.responsive.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:30:32 +0530] "GET /Waterplant_V1_0/external-js/metisMenu.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:30:32 +0530] "GET /Waterplant_V1_0/JS/RawmaterialScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:30:32 +0530] "GET /Waterplant_V1_0/Menu.jsp HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:30:32 +0530] "POST /Waterplant_V1_0/Rawmaterial HTTP/1.1" 200 90
